TagNumber,Make,Year,Expired,TicketProcessing,TicketAll,Insurance,Horsepower,Torque,Length,Width,Weight,EngineSize,ABS,BreakAssist,GPS,CompanyNumber
765-V6,國瑞,201504,無,0,0,有,208.88kW(284PS),88kg-m,1220,250,16.0,7684,有,引擎排氣煞車,無,2508
795-V6,斯堪尼亞,201509,無,0,0,有,298.4kW(400HP),214.2kg-m,1220,250,17.0,12740,有,引擎排氣煞車,無,2508
821-WW,成運,200612,無,0,0,有,250.0KW,191.5kg-m,1220,250,17.0,10640,無,引擎排氣煞車,無,2508
860-TT,斯堪尼亞,201208,無,0,5,有,279.0kW,193.8kg-m,1220,250,17.0,11705,有,引擎排氣煞車,無,2508
979-EE,斯堪尼亞,201008,無,0,4,有,279.0kW,193.8kg-m,1220,250,17.0,11705,有,引擎排氣煞車,有,2508
KAA-3511,順益,201601,無,0,0,有,無資料,無資料,1220,250,16.1,7545,無,無,無,2508
KAA-3551,百盛,201609,無,0,0,有,324kW,212kg-m,1219,250,17.0,10824,有,引擎排氣煞車,無,2508
KAA-3596,斯堪尼亞,201702,無,0,0,有,298.3kw(400HP),214.1kg-m,1220,250,17.0,12742,有,引擎排氣煞車,無,2508
ZZ-696,VOLVO,199709,無,0,2,有,209kw,117.5kg-m,1220,250,16.5,6724,無,引擎排氣煞車,無,2508
176-KK,順益,200504,無,0,32,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,有,2512
360-JJ,MAN,200401,無,0,13,有,無資料,無資料,1220,250,17.0,12816,無,無,有,2512
389-YY,MAN,200112,無,0,3,有,無資料,無資料,1220,250,17.0,12816,無,無,無,2512
390-YY,MAN,200112,無,0,3,有,無資料,無資料,1220,250,17.0,12816,無,無,無,2512
766-YY,MAN,201404,無,0,1,有,無資料,無資料,1220,250,17.0,10518,無,無,無,2512
781-W2,猛獅,201702,無,0,0,有,294kW,193.8kg-m,1220,250,17.0,10518,有,引擎排氣煞車,無,2512
808-FF,福方,200401,無,0,10,有,250.0kW,163.2kg-m,1220,250,17.0,10640,無,引擎減速器,無,2512
827-XX,MAN,201210,無,0,3,有,265kw,183.6kg-m,1220,250,17.0,10518,有,無,無,2512
879-XX,MAN,201405,無,0,2,有,294kW,193.8kg-m,1220,250,17.0,10518,有,引擎排氣煞車,無,2512
KAA-0059,斯堪尼亞,201604,無,0,0,有,298.4kW(400HP),214.1kg-m,1220,250,17.0,12742,有,引擎排氣煞車,無,2512
KAA-0137,斯堪尼亞,201607,無,0,1,有,298.4kW(400HP),214.1kg-m,1220,250,17.0,12742,有,引擎排氣煞車,無,2512
KAA-0169,MAN,200003,無,1,1,有,無資料,無資料,1220,250,17.0,12816,無,無,無,2512
098-NN,國瑞,201106,無,0,9,有,193.4kw(263.0ps),81.0kg-m,1220,250,16.0,7684,無,無,有,2552
210-V8,斯堪尼亞,201309,無,0,2,有,235.0kW,163.2kg-m,1220,250,17.0,9290,有,引擎排氣煞車,無,2552
247-VV,斯堪尼亞,201209,無,0,2,有,279.0kW,193.8kg-m,1220,250,17.0,11705,有,引擎排氣煞車,有,2552
278-UU,斯堪尼亞,201209,無,0,5,有,279.0kW,193.8kg-m,1220,250,17.0,11705,有,引擎排氣煞車,無,2552
281-V8,國瑞,201501,無,0,1,有,無資料,無資料,1220,250,16.0,7684,無,無,無,2552
327-WW,國瑞,201308,無,0,1,有,205.9kw(280.0ps),84.0kg-m,1220,250,16.0,7684,有,無,有,2552
328-WW,國瑞,201306,無,0,3,有,205.9kw(280.0ps),84.0kg-m,1220,250,16.0,7684,有,無,有,2552
582-XX,順益,201207,無,0,2,有,204.5kw(278ps),82kg-m,1210,250,15.5,7545,無,引擎排氣煞車,有,2552
637-XX,國瑞,201209,無,0,1,有,193.4kw(263.0ps),81.0kg-m,1220,250,16.0,7684,無,無,有,2552
857-V8,順益,201505,無,0,5,有,無資料,無資料,1210,250,15.5,7545,無,無,有,2552
867-V8,順益,201505,無,0,0,有,無資料,無資料,1210,250,15.5,7545,無,無,有,2552
878-V8,順益,201505,無,0,4,有,無資料,無資料,1210,250,15.5,7545,無,無,有,2552
879-V8,順益,201505,無,0,11,有,無資料,無資料,1210,250,15.5,7545,無,無,有,2552
